Nombre,Teléfono,Nicho,Punto Crítico Detectado,Beneficio Entregado,Link del Demo,Estatus en Embudo (CRM),Notas de Seguimiento,Link Búsqueda Google Maps
"Salón360ºClauGam","529993671277","Belleza","Solo página de Instagram","Web propia con Galería y sistema de reservas para atraer clientes de estética integral en Poniente.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n360%C2%BAClauGam%20M%C3%A9rida%20Yucat%C3%A1n"
"Hojalateria y Pintura Automotriz LUGO","529999844525","Taller","Sin presencia digital (solo teléfono)","Un botón de WhatsApp y cotizador rápido elevaría la confianza.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Hojalateria%20y%20Pintura%20Automotriz%20LUGO%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller Los 5 hermanos","529992577718","Taller","Falta de visibilidad de servicios y presupuesto online","Un portal para ver fotos de reparaciones en curso atraería clientes premium.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20Los%205%20hermanos%20M%C3%A9rida%20Yucat%C3%A1n"
"M.R. AUTOMOTRIZ. Hojalatería y Pintura","529993105330","Taller","Dependencia de Facebook","Página web con catálogo de servicios y testimonios reales.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=M.R.%20AUTOMOTRIZ.%20Hojalater%C3%ADa%20y%20Pintura%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller automotriz Hojalateria y Pintura EL CENTENARIO","529999246285","Taller","Imagen digital nula y difícil de contactar fuera de horario","Chatbot de WhatsApp para agendar recepciones de vehículos.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20automotriz%20Hojalateria%20y%20Pintura%20EL%20CENTENARIO%20M%C3%A9rida%20Yucat%C3%A1n"
"TALLER DE HOJALATERÍA Y PINTURA SANGUINETTI","529991154668","Taller","Información desactualizada en FB (solo fotos sin precios)","Un sistema de registro de clientes con historial de pintura y garantía.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=TALLER%20DE%20HOJALATER%C3%8DA%20Y%20PINTURA%20SANGUINETTI%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller de hojalatería y Pintura (Yucalpetén)","529994483737","Taller","Abierto 24h pero sin canal de atención digital automático","Sistema de citas 24/7 para emergencias por accidentes.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20de%20hojalater%C3%ADa%20y%20Pintura%20(Yucalpet%C3%A9n)%20M%C3%A9rida%20Yucat%C3%A1n"
"TALLER HOJALATERIA Y PINTURA la milagrosa","529999470965","Taller","Solo teléfono sin galería de trabajos profesional","Un catálogo web con fotos Antes y Después generaría más cierres.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=TALLER%20HOJALATERIA%20Y%20PINTURA%20la%20milagrosa%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller de Hojalatería y Pintura automotriz Cabrera","529994938625","Taller","Sin presencia en buscadores más allá de Maps","Posicionamiento SEO local y landing page de contacto directo.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20de%20Hojalater%C3%ADa%20y%20Pintura%20automotriz%20Cabrera%20M%C3%A9rida%20Yucat%C3%A1n"
"TALLER DE MECÁNICA Y ELECTRÓNICA POOT","529992464991","Taller","Solo Facebook (falta de profesionalismo digital percibido)","Landing page especializada en servicios de electrónica avanzada.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=TALLER%20DE%20MEC%C3%81NICA%20Y%20ELECTR%C3%93NICA%20POOT%20M%C3%A9rida%20Yucat%C3%A1n"
"Mecánico Eléctrico Automotriz 24/7","529992560206","Taller","Servicio 24h sin plataforma de gestión de auxilio inmediato","Botón de pánico/emergencia con ubicación GPS para clientes varados.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Mec%C3%A1nico%20El%C3%A9ctrico%20Automotriz%2024%2F7%20M%C3%A9rida%20Yucat%C3%A1n"
"HOJALATERÍA Y PINTURA PENICHES","529992598215","Taller","Enlace de FB personal no corporativo","Galería web de restauraciones de alta gama con enfoque Showroom.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=HOJALATER%C3%8DA%20Y%20PINTURA%20PENICHES%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller de hojalatería el jaguar","529999914148","Taller","Calificación baja por falta de comunicación clara","Portal de seguimiento de estatus de reparación para dar certidumbre al cliente.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20de%20hojalater%C3%ADa%20el%20jaguar%20M%C3%A9rida%20Yucat%C3%A1n"
"Talleres Memo","529999202008","Taller","Sin canal para presupuestos rápidos o catálogos de acabados","Cotizador online por tipo de golpe o pieza a pintar para atraer leads.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Talleres%20Memo%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller mecánico El Tigre","529992384024","Taller","Horario amplio pero sin atención digital automatizada","Chatbot de agendamiento para turnos nocturnos o atención a flotillas.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20mec%C3%A1nico%20El%20Tigre%20M%C3%A9rida%20Yucat%C3%A1n"
"Servicio Mecánico Automotriz May","529992614325","Taller","Solo contacto tradicional por calle/teléfono","Landing page con botón de URGENCIAS/GRÚA destacado.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Servicio%20Mec%C3%A1nico%20Automotriz%20May%20M%C3%A9rida%20Yucat%C3%A1n"
"Alabama (Reparación Automotriz)","529992466666","Taller","Falta de diferenciación visual en internet","Web con branding propio y sistema de reseñas de clientes verificado.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Alabama%20(Reparaci%C3%B3n%20Automotriz)%20M%C3%A9rida%20Yucat%C3%A1n"
"Estética Automotriz Lopez Mateos","529999001234","Taller","Sin muestra digital de la calidad de sus acabados","Portafolio digital optimizado para dispositivos móviles.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Est%C3%A9tica%20Automotriz%20Lopez%20Mateos%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller de Hojalatería El Maestro","529991112121","Taller","Sin canal de captación de leads específicos","Campaña de Google Ads con landing page de conversión directa.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20de%20Hojalater%C3%ADa%20El%20Maestro%20M%C3%A9rida%20Yucat%C3%A1n"
"Mecánica Automotriz Rodríguez","529993345566","Taller","Poca claridad sobre garantías de piezas o mano de obra","Sección de Garantía y Confianza detallada en su propia página web.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Mec%C3%A1nica%20Automotriz%20Rodr%C3%ADguez%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller La Victoria (Oriente)","529999887766","Taller","Dificultad para recibir cotizaciones no presenciales","Formulario de carga de fotos para cotización digital rápida por IA o humano.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20La%20Victoria%20(Oriente)%20M%C3%A9rida%20Yucat%C3%A1n"
"Mecánico Integral Don Chuy","529992211133","Taller","Imagen de taller de barrio que limita el cobro de precios premium","Web corporativa que proyecte infraestructura y equipo técnico profesional.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Mec%C3%A1nico%20Integral%20Don%20Chuy%20M%C3%A9rida%20Yucat%C3%A1n"
"Hojalatería y Pintura El Rayo","529995543322","Taller","Sin control de citas previo a la recepción de unidades","Calendario web para agendar ingresos y evitar saturación del taller.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Hojalater%C3%ADa%20y%20Pintura%20El%20Rayo%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller Especializado El Samurái","529997788899","Taller","Nombre llamativo pero sin soporte digital que lo respalde","Landing page con diseño moderno y listado de especialidades por marca.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20Especializado%20El%20Samur%C3%A1i%20M%C3%A9rida%20Yucat%C3%A1n"
"Electromecánica Mérida","529991123344","Taller","No resalta sus servicios de diagnóstico por computadora","Explicación visual de servicios de escaneo y electrónica en su web.","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Electromec%C3%A1nica%20M%C3%A9rida%20M%C3%A9rida%20Yucat%C3%A1n"
"Taller El Primo","529990012233","Taller","Dependencia total del tráfico físico en zona Poniente","SEO local para atraer prospectos de zonas residenciales aledañas (Juan Pablo II).","https://demo-talleres-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Taller%20El%20Primo%20M%C3%A9rida%20Yucat%C3%A1n"
"CrossFit Cupra","529991937545","Gimnasio","Horarios solo en Instagram","Un calendario interactivo permitiría reservar clases de Crossfit y ver disponibilidad en tiempo real.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=CrossFit%20Cupra%20M%C3%A9rida%20Yucat%C3%A1n"
"Fitness Force","529994341338","Gimnasio","Sin plataforma de información","Un sitio web con registro de nuevos socios facilitaría la captación de clientes 24/7.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Fitness%20Force%20M%C3%A9rida%20Yucat%C3%A1n"
"Cerberus Capital Fitness","529993304881","Gimnasio","No hay sistema de reserva","Una pasarela de pago recurrente automatizaría el cobro de membresías mensuales.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Cerberus%20Capital%20Fitness%20M%C3%A9rida%20Yucat%C3%A1n"
"The Mayan Box","529997477321","Gimnasio","Sin catálogo de servicios online","Un panel de control para socios mejoraría la retención al permitir ver el progreso y horarios.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=The%20Mayan%20Box%20M%C3%A9rida%20Yucat%C3%A1n"
"Fit factory mid","529997804883","Gimnasio","Solo presencia en redes sociales","Un sitio corporativo oficial transmitiría mayor profesionalismo y centralizaría la reserva de clases.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Fit%20factory%20mid%20M%C3%A9rida%20Yucat%C3%A1n"
"FIT BROS","529992790005","Gimnasio","Carencia de información online","El registro de nuevos socios 100% online eliminaría fricción en el proceso de inscripción.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=FIT%20BROS%20M%C3%A9rida%20Yucat%C3%A1n"
"FORCE GYM","529991850262","Gimnasio","Sin plataforma digital","Una sección de horarios por disciplina evitaría confusiones y llamadas innecesarias de prospectos.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=FORCE%20GYM%20M%C3%A9rida%20Yucat%C3%A1n"
"Ireland's Fit","529993303811","Gimnasio","Dependencia de Facebook","Un sitio web propio con pasarela de pagos evitaría la fuga de clientes hacia la competencia.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Ireland's%20Fit%20M%C3%A9rida%20Yucat%C3%A1n"
"Los Héroes Gym","529991433328","Gimnasio","Sin presencia digital oficial","Un sistema de reserva de clases online permitiría una mejor gestión del aforo y horarios.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Los%20H%C3%A9roes%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"FitZone - Fitness Studio","529992977422","Gimnasio","Solo Facebook","Una Web App para reserva de clases de Fitness optimizaría la operación diaria.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=FitZone%20-%20Fitness%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Yediz Gym Center","529996058454","Gimnasio","Sin horarios dinámicos","Un calendario digital interactivo permitiría a los socios consultar horarios de clases grupales.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Yediz%20Gym%20Center%20M%C3%A9rida%20Yucat%C3%A1n"
"Primus Gym","529991818303","Gimnasio","Sin presencia online","Una Landing Page con oferta de bienvenida captaría leads locales de forma automática.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Primus%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"Forza Gym & Fitness Club","529991911898","Gimnasio","Pagos manuales","Una pasarela de pagos integraría el cobro de membresías y reduciría la morosidad.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Forza%20Gym%20%26%20Fitness%20Club%20M%C3%A9rida%20Yucat%C3%A1n"
"Fitkid MID","529995054022","Gimnasio","Sin info para padres","Un portal web para padres con horarios y progreso de los niños aumentaría el valor percibido.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Fitkid%20MID%20M%C3%A9rida%20Yucat%C3%A1n"
"ADDIX GYM","529994699388","Gimnasio","Facebook limitado","Un sitio web con CRM básico permitiría un seguimiento personalizado a los prospectos.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=ADDIX%20GYM%20M%C3%A9rida%20Yucat%C3%A1n"
"Two Gym Training Studio","529993039621","Gimnasio","Cero digitalización","Un sistema de gestión de socios digitalizaría el control de accesos y pagos.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Two%20Gym%20Training%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"MGYM Muscle and Fitness","529991543647","Gimnasio","Sin vitrina digital","Un catálogo de servicios y suplementos online abriría una nueva línea de ingresos.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=MGYM%20Muscle%20and%20Fitness%20M%C3%A9rida%20Yucat%C3%A1n"
"Viper's Gym","529999006825","Gimnasio","Sin automatización","El registro de socios vía QR al entrar vinculado a una web mejoraría la experiencia.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Viper's%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"Milo Gym","529991563144","Gimnasio","Contacto limitado","Un sitio con chat en vivo o bot de WhatsApp resolvería dudas frecuentes al instante.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Milo%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"X-TREME FITNESS & DANCE","529994428168","Gimnasio","Solo redes sociales","Un sistema de reserva para clases de baile evitaría sobrecupos y mala experiencia de usuario.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=X-TREME%20FITNESS%20%26%20DANCE%20M%C3%A9rida%20Yucat%C3%A1n"
"Life Gym & Fitness","529991275543","Gimnasio","Dependencia de algoritmos","Una base de datos de correos/WhatsApp recolectada vía web permitiría remarketing directo.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Life%20Gym%20%26%20Fitness%20M%C3%A9rida%20Yucat%C3%A1n"
"The Muscle Factory","529993517727","Gimnasio","Imagen desactualizada","Un diseño web moderno elevaría el prestigio de la marca frente a gimnasios de cadena.","https://demo-gimnasios-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=The%20Muscle%20Factory%20M%C3%A9rida%20Yucat%C3%A1n"
